318191: 38971
318478: 39258
318514: 39294
319700: 40480
319880: 40660
319884: 40664
319908: 40688
319912: 40692
320198: 40978
320231: 41011
320258: 41038
320262: 41042
320289: 41069
320317: 41097
320321: 41101
320345: 41125
320349: 41129
320380: 41160
320462: 41242
320846: 41626
320860: 41640
320875: 41655
320909: 41689
320926: 41706
320947: 41727
320956: 41736
320976: 41756
320993: 41773
321013: 41793
321029: 41809
321038: 41818
321052: 41832
321066: 41846
321108: 41888
321150: 41930
321177: 41957
321188: 41968
321197: 41977
321213: 41993
321569: 42349
321584: 42364
321618: 42398
321635: 42415
321652: 42432
321672: 42452
321688: 42468
321698: 42478
321714: 42494
321726: 42506
321768: 42548
321810: 42590
321835: 42615
321862: 42642
321866: 42646
321893: 42673
